id,material,substrate,process,T_C,P_Torr,t_pulse_s,GPC_A_per_cycle,Uniformity_pct,Interdiffusion_Width_nm,Diffusivity_cm2_per_s,Diffusivity_cm2_per_s_str,x_max_nm
ALD_Al2O3_Si_00055,Al2O3,Si(100),ALD,154.3,2.1,0.79,1.01,99.8,1.59,4.539238040281963e-18,4.54e-18,3.914222429861917
ALD_Al2O3_Si_00056,Al2O3,Si(100),ALD,219.2,4.4,0.32,1.05,99.9,0.76,2.017874426795523e-18,2.02e-18,0.7939241302733937
ALD_Al2O3_Si_00057,Al2O3,Si(100),ALD,314.0,6.7,0.35,1.12,99.9,2.0,8.12505379604524e-18,8.13e-18,4.384504222992953
ALD_Al2O3_Si_00058,Al2O3,Si(100),ALD,337.3,7.2,0.51,1.16,99.9,2.0,1.2266733739441389e-17,1.23e-17,6.503137030702808
ALD_Al2O3_Si_00059,Al2O3,Si(100),ALD,267.1,8.2,0.92,1.12,99.9,2.0,1.1258976787981497e-17,1.13e-17,8.367904662447733
ALD_Al2O3_Si_00060,Al2O3,Si(100),ALD,251.1,2.0,0.61,1.1,99.9,1.64,1.2551643559561853e-17,1.26e-17,5.8993262788048515
ALD_Al2O3_Si_00061,Al2O3,Si(100),ALD,268.4,2.1,0.34,1.08,99.9,2.0,5.5155091626689295e-18,5.52e-18,3.56045590612751
ALD_Al2O3_Si_00062,Al2O3,Si(100),ALD,229.9,9.6,0.15,1.03,98.9,0.91,2.0148523891766943e-18,2.01e-18,0.6503572581985038
ALD_Al2O3_Si_00063,Al2O3,Si(100),ALD,223.2,0.3,0.39,1.03,99.9,0.71,3.7968584143238274e-18,3.8e-18,1.1231718385456557
ALD_Al2O3_Si_00064,Al2O3,Si(100),ALD,232.5,0.4,0.83,1.06,99.9,1.07,1.0275384768618949e-17,1.03e-17,4.062236675513486
ALD_Al2O3_Si_00065,Al2O3,Si(100),ALD,209.5,5.0,0.53,1.05,99.9,0.41,4.878238425085906e-18,4.88e-18,0.8570312446173955
ALD_Al2O3_Si_00066,Al2O3,Si(100),ALD,158.1,5.9,0.3,0.99,97.2,1.24,1.5846113443046372e-18,1.58e-18,1.1114426167474525
ALD_Al2O3_Si_00067,Al2O3,Si(100),ALD,183.6,7.8,0.9,1.03,96.8,0.69,7.834979711415972e-18,7.83e-18,2.3819499725142053
ALD_Al2O3_Si_00068,Al2O3,Si(100),ALD,216.0,6.0,0.76,1.07,99.9,0.67,6.888089603956359e-18,6.89e-18,1.9928487802085346
ALD_Al2O3_Si_00069,Al2O3,Si(100),ALD,178.9,7.8,0.72,1.02,97.3,0.74,8.599443688670453e-18,8.6e-18,2.3937373637918
ALD_Al2O3_Si_00070,Al2O3,Si(100),ALD,177.7,6.7,0.28,0.98,97.2,0.68,2.2450929796150585e-18,2.25e-18,0.7008877130139024
ALD_Al2O3_Si_00071,Al2O3,Si(100),ALD,226.1,2.4,0.22,1.04,99.9,0.9,1.5124650127725925e-18,1.51e-18,0.6749006877434401
ALD_Al2O3_Si_00072,Al2O3,Si(100),ALD,183.4,2.0,0.14,1.01,99.9,0.69,8.065182251966185e-19,8.07e-19,0.3014140925239091
ALD_Al2O3_Si_00073,Al2O3,Si(100),ALD,310.4,6.0,0.79,1.15,99.9,2.0,1.972189011326824e-17,1.97e-17,10.0
ALD_Al2O3_Si_00074,Al2O3,Si(100),ALD,341.0,1.6,0.45,1.19,99.9,2.0,1.3871501446680125e-17,1.39e-17,6.495930064340359
ALD_Al2O3_Si_00075,Al2O3,Si(100),ALD,213.7,8.8,0.2,0.98,99.8,0.56,2.0923503141516176e-18,2.09e-18,0.4709378279338646
ALD_Al2O3_Si_00076,Al2O3,Si(100),ALD,161.3,2.7,0.68,1.01,99.9,1.32,4.336436732172078e-18,4.34e-18,2.946715768540871
ALD_Al2O3_Si_00077,Al2O3,Si(100),ALD,310.7,2.7,0.1,1.12,99.9,2.0,1.5197932798543518e-18,1.52e-18,1.0135976801382005
ALD_Al2O3_Si_00078,Al2O3,Si(100),ALD,222.1,2.7,0.33,1.03,99.9,0.72,4.445953331059084e-18,4.45e-18,1.1337446964568736
ALD_Al2O3_Si_00079,Al2O3,Si(100),ALD,181.6,2.9,0.31,1.0,99.9,0.65,1.6391505970847992e-18,1.64e-18,0.6023473222119252
ALD_Al2O3_Si_00080,Al2O3,Si(100),ALD,294.2,6.5,0.69,1.1,99.9,2.0,1.0947488780687357e-17,1.09e-17,7.145870602567478
ALD_Al2O3_Si_00081,Al2O3,Si(100),ALD,151.5,8.6,0.46,0.97,96.9,1.7,1.7499722672577336e-18,1.75e-18,1.982835896698516
ALD_Al2O3_Si_00082,Al2O3,Si(100),ALD,151.6,1.5,0.18,0.97,99.5,1.63,1.0261954402149551e-18,1.03e-18,0.9107144963848901
ALD_Al2O3_Si_00083,Al2O3,Si(100),ALD,212.5,2.5,0.65,1.07,99.9,0.35,5.032329663991786e-18,5.03e-18,0.8229105246909499
ALD_Al2O3_Si_00084,Al2O3,Si(100),ALD,287.7,4.1,0.45,1.1,99.9,2.0,6.5202986410984624e-18,6.52e-18,4.453621949180411
ALD_Al2O3_Si_00085,Al2O3,Si(100),ALD,212.3,6.3,0.26,1.01,99.9,0.72,1.9472037493624117e-18,1.95e-18,0.665990786843457
ALD_Al2O3_Si_00086,Al2O3,Si(100),ALD,160.6,3.9,0.85,1.0,99.9,1.23,2.4859556373579398e-18,2.49e-18,2.3243665331912595
ALD_Al2O3_Si_00087,Al2O3,Si(100),ALD,192.4,9.4,0.28,1.02,94.1,0.45,1.5041000000808884e-18,1.5e-18,0.3796411125098953
ALD_Al2O3_Si_00088,Al2O3,Si(100),ALD,186.1,8.2,0.89,1.04,94.5,0.59,3.93969991579577e-18,3.94e-18,1.4362232034574514
ALD_Al2O3_Si_00089,Al2O3,Si(100),ALD,197.9,5.1,0.41,1.01,99.9,0.49,2.7275093605309488e-18,2.73e-18,0.6736192438926059
ALD_Al2O3_Si_00090,Al2O3,Si(100),ALD,210.3,0.4,0.82,1.06,99.9,0.63,8.182771524553171e-18,8.18e-18,2.121490251845684
ALD_Al2O3_Si_00091,Al2O3,Si(100),ALD,255.5,5.2,0.42,1.08,99.9,2.0,6.4059914134151855e-18,6.41e-18,4.264726347723661
ALD_Al2O3_Si_00092,Al2O3,Si(100),ALD,218.1,4.4,0.08,1.04,99.9,0.6,9.725332013220996e-19,9.73e-19,0.3
ALD_Al2O3_Si_00093,Al2O3,Si(100),ALD,270.6,2.9,0.64,1.09,99.9,2.0,1.3021897676160327e-17,1.3e-17,7.505860250906623
ALD_Al2O3_Si_00094,Al2O3,Si(100),ALD,348.2,9.4,0.21,1.15,99.9,2.0,5.8544695417361925e-18,5.85e-18,2.8828813644423
ALD_Al2O3_Si_00095,Al2O3,Si(100),ALD,238.6,1.4,0.21,1.04,99.9,1.3,2.2707303093645014e-18,2.27e-18,1.1670222344415506
ALD_Al2O3_Si_00096,Al2O3,Si(100),ALD,313.0,1.1,0.87,1.13,99.9,2.0,1.972487925736112e-17,1.97e-17,10.0
ALD_Al2O3_Si_00097,Al2O3,Si(100),ALD,308.6,9.1,0.85,1.16,99.9,2.0,9.732431516685035e-18,9.73e-18,7.478138237213337
ALD_Al2O3_Si_00098,Al2O3,Si(100),ALD,231.7,1.2,0.29,1.05,99.9,1.15,2.0089135849145152e-18,2.01e-18,1.1410924172414054
ALD_Al2O3_Si_00099,Al2O3,Si(100),ALD,162.6,9.9,0.9,1.01,94.0,1.07,4.343319842073625e-18,4.34e-18,2.7501684194638214
ALD_Al2O3_Si_00100,Al2O3,Si(100),ALD,176.3,1.9,0.27,0.99,99.9,0.84,1.4983001696529428e-18,1.5e-18,0.6945506703231645
ALD_Al2O3_Si_00101,Al2O3,Si(100),ALD,156.6,2.4,0.19,0.94,99.9,1.29,1.0533477297886566e-18,1.05e-18,0.7502322772568991
ALD_Al2O3_Si_00102,Al2O3,Si(100),ALD,295.8,2.2,0.96,1.14,99.9,2.0,2.1207392642147837e-17,2.12e-17,10.0
ALD_Al2O3_Si_00103,Al2O3,Si(100),ALD,164.2,2.8,0.51,0.98,97.9,1.27,1.5596310544081442e-18,1.56e-18,1.472458618347475
ALD_Al2O3_Si_00104,Al2O3,Si(100),ALD,346.3,1.7,0.16,1.14,99.9,2.0,6.0363045136808566e-18,6.04e-18,2.555164762201689
ALD_Al2O3_Si_00105,Al2O3,Si(100),ALD,342.8,1.4,0.15,1.15,99.9,2.0,4.8135083984039694e-18,4.81e-18,2.209275337295382
ALD_Al2O3_Si_00106,Al2O3,Si(100),ALD,325.4,1.7,0.52,1.16,99.9,2.0,1.6179737739820485e-17,1.62e-17,7.54155249952004
ALD_Al2O3_Si_00107,Al2O3,Si(100),ALD,325.4,6.2,0.81,1.19,99.9,2.0,2.878724389506393e-17,2.88e-17,10.0
ALD_Al2O3_Si_00108,Al2O3,Si(100),ALD,306.7,5.9,0.96,1.16,99.9,2.0,1.9759962893504632e-17,1.98e-17,10.0
ALD_Al2O3_Si_00109,Al2O3,Si(100),ALD,171.0,7.2,0.7,1.01,96.9,1.03,5.609923499903693e-18,5.61e-18,2.653432636408842
ALD_Al2O3_Si_00110,Al2O3,Si(100),ALD,200.8,2.2,0.08,1.0,99.9,0.46,4.779888867770132e-19,4.78e-19,0.3
ALD_Al2O3_Si_00111,Al2O3,Si(100),ALD,253.8,1.5,0.71,1.06,99.9,1.82,6.7768759804627225e-18,6.78e-18,5.189896340469808
ALD_Al2O3_Si_00112,Al2O3,Si(100),ALD,270.6,1.2,0.53,1.1,99.9,2.0,8.963257044857315e-18,8.96e-18,5.666882506309337
ALD_Al2O3_Si_00113,Al2O3,Si(100),ALD,212.2,1.3,0.51,1.04,99.9,0.54,3.774570355701655e-18,3.77e-18,0.9739932846181801
ALD_Al2O3_Si_00114,Al2O3,Si(100),ALD,343.5,3.0,0.87,1.22,99.9,2.0,2.918673549761851e-17,2.92e-17,10.0
ALD_Al2O3_Si_00115,Al2O3,Si(100),ALD,245.1,8.9,0.83,1.08,99.9,1.55,1.7553809624176657e-17,1.76e-17,7.691300660193814
ALD_Al2O3_Si_00116,Al2O3,Si(100),ALD,274.5,6.4,0.17,1.09,99.9,2.0,2.984526646016233e-18,2.98e-18,1.8519767875440165
ALD_Al2O3_Si_00117,Al2O3,Si(100),ALD,194.3,0.1,0.53,1.02,99.9,0.54,3.9626270359608475e-18,3.96e-18,1.0173412311165386
ALD_Al2O3_Si_00118,Al2O3,Si(100),ALD,334.4,9.6,0.64,1.15,99.9,2.0,1.4010663227538226e-17,1.4e-17,7.7856106624735215
ALD_Al2O3_Si_00119,Al2O3,Si(100),ALD,252.6,4.7,0.71,1.11,99.9,1.93,5.3476752595603815e-18,5.35e-18,4.888913451232934
ALD_Al2O3_Si_00120,Al2O3,Si(100),ALD,309.1,5.0,0.8,1.16,99.9,2.0,1.7133558032591358e-17,1.71e-17,9.625917194753656
ALD_Al2O3_Si_00121,Al2O3,Si(100),ALD,195.9,0.3,0.67,1.04,99.9,0.44,6.5523890662370224e-18,6.55e-18,1.1984868372435116
ALD_Al2O3_Si_00122,Al2O3,Si(100),ALD,264.3,2.4,0.5,1.08,99.9,2.0,6.400831642971731e-18,6.4e-18,4.651323570043742
ALD_Al2O3_Si_00123,Al2O3,Si(100),ALD,325.8,8.1,0.16,1.15,99.9,2.0,4.6187567534691926e-18,4.62e-18,2.235094473294648
ALD_Al2O3_Si_00124,Al2O3,Si(100),ALD,274.4,5.5,0.67,1.09,99.9,2.0,1.5985199125928873e-17,1.6e-17,8.508828584544236
ALD_Al2O3_Si_00125,Al2O3,Si(100),ALD,178.4,8.7,0.44,1.01,95.2,0.82,3.9715854347062216e-18,3.97e-18,1.409176842282774
ALD_Al2O3_Si_00126,Al2O3,Si(100),ALD,191.6,1.6,0.72,1.06,99.9,0.65,5.545196061637867e-18,5.55e-18,1.688423585743786
ALD_Al2O3_Si_00127,Al2O3,Si(100),ALD,189.2,7.9,0.23,0.99,98.2,0.85,1.6073266062369004e-18,1.61e-18,0.6718591913172688
ALD_Al2O3_Si_00128,Al2O3,Si(100),ALD,265.8,8.7,0.97,1.11,98.0,2.0,8.733004709123608e-18,8.73e-18,7.56730192860476
ALD_Al2O3_Si_00129,Al2O3,Si(100),ALD,206.5,0.2,0.72,1.04,99.9,0.63,4.687178085876073e-18,4.69e-18,1.5045474094369478
ALD_Al2O3_Si_00130,Al2O3,Si(100),ALD,318.6,0.6,0.32,1.13,99.9,2.0,7.080239346289305e-18,7.08e-18,3.913562795445223
ALD_Al2O3_Si_00131,Al2O3,Si(100),ALD,261.8,7.2,0.22,1.05,99.9,2.0,2.345630510540488e-18,2.35e-18,1.8677316978827054
ALD_Al2O3_Si_00132,Al2O3,Si(100),ALD,218.8,4.8,0.65,1.05,99.9,0.82,6.243025199059233e-18,6.24e-18,2.1473924753096254
ALD_Al2O3_Si_00133,Al2O3,Si(100),ALD,202.5,6.7,0.39,1.01,98.4,0.47,5.2870916085528924e-18,5.29e-18,0.877368284869395
ALD_Al2O3_Si_00134,Al2O3,Si(100),ALD,241.4,7.8,0.59,1.08,99.9,1.32,1.0459890952699249e-17,1.05e-17,4.262916910449325
ALD_Al2O3_Si_00135,Al2O3,Si(100),ALD,280.0,6.5,0.71,1.1,99.9,2.0,1.2510938399072232e-17,1.25e-17,7.7490321937766575
ALD_Al2O3_Si_00136,Al2O3,Si(100),ALD,222.4,7.7,0.17,1.05,99.3,0.74,1.9874068045879783e-18,1.99e-18,0.5591687844354958
ALD_Al2O3_Si_00137,Al2O3,Si(100),ALD,244.8,4.0,0.61,1.06,99.9,1.53,5.699399706843165e-18,5.7e-18,3.7086364164282823
ALD_Al2O3_Si_00138,Al2O3,Si(100),ALD,246.3,0.5,0.87,1.08,99.9,1.7,1.5809463626624117e-17,1.58e-17,8.196160755497143
ALD_Al2O3_Si_00139,Al2O3,Si(100),ALD,294.1,9.2,0.12,1.11,99.9,2.0,1.4337528344770938e-18,1.43e-18,1.078452733933119
ALD_Al2O3_Si_00140,Al2O3,Si(100),ALD,259.3,3.6,0.6,1.07,99.9,2.0,1.051974600855442e-17,1.05e-17,6.532081583285433
ALD_Al2O3_Si_00141,Al2O3,Si(100),ALD,244.1,6.2,0.74,1.08,99.9,1.49,9.804290388283129e-18,9.8e-18,5.217393148578975
ALD_Al2O3_Si_00142,Al2O3,Si(100),ALD,315.0,8.6,0.96,1.18,99.9,2.0,1.790863184026688e-17,1.79e-17,10.0
ALD_Al2O3_Si_00143,Al2O3,Si(100),ALD,153.3,9.2,0.81,0.97,94.0,1.44,3.541427780438262e-18,3.54e-18,3.17057147991461
ALD_Al2O3_Si_00144,Al2O3,Si(100),ALD,265.1,1.9,0.59,1.1,99.9,2.0,5.9335117397985356e-18,5.93e-18,4.864690968911847
ALD_Al2O3_Si_00145,Al2O3,Si(100),ALD,340.9,3.0,0.93,1.19,99.9,2.0,2.0194710831944926e-17,2.02e-17,10.0
ALD_Al2O3_Si_00146,Al2O3,Si(100),ALD,182.3,1.7,0.66,1.03,99.9,0.77,2.524037296194429e-18,2.52e-18,1.2919744620478824
ALD_Al2O3_Si_00147,Al2O3,Si(100),ALD,218.2,4.3,0.63,1.03,99.9,0.58,7.027080673281696e-18,7.03e-18,1.5864598676022008
ALD_Al2O3_Si_00148,Al2O3,Si(100),ALD,326.4,0.5,0.2,1.12,99.9,2.0,7.574410750888671e-18,7.57e-18,3.200094269736672
ALD_Al2O3_Si_00149,Al2O3,Si(100),ALD,287.6,8.9,0.72,1.13,99.9,2.0,6.7040838461730916e-18,6.7e-18,5.712277732751943
ALD_Al2O3_Si_00150,Al2O3,Si(100),ALD,205.5,9.0,0.65,1.04,96.9,0.36,8.877099815504569e-18,8.88e-18,1.1241857682314775
ALD_Al2O3_Si_00151,Al2O3,Si(100),ALD,337.1,1.9,0.98,1.19,99.9,2.0,2.8340988755744105e-17,2.83e-17,10.0
ALD_Al2O3_Si_00152,Al2O3,Si(100),ALD,297.7,6.0,0.51,1.13,99.9,2.0,1.0884547930738304e-17,1.09e-17,6.125811574478388
ALD_Al2O3_Si_00153,Al2O3,Si(100),ALD,329.1,1.2,0.2,1.13,99.9,2.0,3.433969979381788e-18,3.43e-18,2.154698914494593
ALD_Al2O3_Si_00154,Al2O3,Si(100),ALD,181.5,0.2,0.57,1.01,99.9,0.61,5.157167751183161e-18,5.16e-18,1.3596159297402168
ALD_Al2O3_Si_00155,Al2O3,Si(100),ALD,316.2,0.6,0.18,1.13,99.9,2.0,4.42326576499143e-18,4.42e-18,2.319963314977539
ALD_Al2O3_Si_00156,Al2O3,Si(100),ALD,291.2,9.9,0.21,1.09,99.9,2.0,5.4540814142797046e-18,5.45e-18,2.7825552960743596
ALD_Al2O3_Si_00157,Al2O3,Si(100),ALD,248.8,2.6,0.49,1.1,99.9,1.64,8.554895432831135e-18,8.55e-18,4.365083875340966
ALD_Al2O3_Si_00158,Al2O3,Si(100),ALD,176.1,8.0,0.86,1.03,95.4,0.71,7.502570264467245e-18,7.5e-18,2.344530907716955
ALD_Al2O3_Si_00159,Al2O3,Si(100),ALD,212.1,5.1,0.53,1.02,99.9,0.56,3.60339872809936e-18,3.6e-18,1.0060636887900767
ALD_Al2O3_Si_00160,Al2O3,Si(100),ALD,310.1,3.0,0.69,1.15,99.9,2.0,1.434420335094512e-17,1.43e-17,8.179676161691757
ALD_Al2O3_Si_00161,Al2O3,Si(100),ALD,332.8,2.6,0.91,1.16,99.9,2.0,2.1091135002648693e-17,2.11e-17,10.0
ALD_Al2O3_Si_00162,Al2O3,Si(100),ALD,156.0,1.8,0.23,0.98,99.9,1.41,1.4234810195510468e-18,1.42e-18,1.0488230501083677
ALD_Al2O3_Si_00163,Al2O3,Si(100),ALD,203.8,7.3,0.65,1.05,99.9,0.57,5.488661475882014e-18,5.49e-18,1.3996134558138549
ALD_Al2O3_Si_00164,Al2O3,Si(100),ALD,206.3,9.1,0.97,1.04,97.4,0.55,1.0564263090060259e-17,1.06e-17,2.2888193323785027
ALD_Al2O3_Si_00165,Al2O3,Si(100),ALD,270.7,9.2,0.59,1.11,98.0,2.0,1.2262045562916264e-17,1.23e-17,6.993278381641561
ALD_Al2O3_Si_00166,Al2O3,Si(100),ALD,287.5,8.6,0.77,1.13,99.9,2.0,8.149051196388662e-18,8.15e-18,6.512867362954835
ALD_Al2O3_Si_00167,Al2O3,Si(100),ALD,180.1,2.0,0.46,1.02,99.9,0.68,4.1932814364059924e-18,4.19e-18,1.2277450352403456
ALD_Al2O3_Si_00168,Al2O3,Si(100),ALD,182.2,4.0,0.15,1.02,99.9,0.59,1.215089574936166e-18,1.22e-18,0.3274501101579343
ALD_Al2O3_Si_00169,Al2O3,Si(100),ALD,335.4,3.1,0.58,1.16,99.9,2.0,1.4904113131744762e-17,1.49e-17,7.6443473735136385
