id,material,substrate,process,T_C,P_Torr,t_pulse_s,GPC_A_per_cycle,Uniformity_pct,Interdiffusion_Width_nm,Diffusivity_cm2_per_s,Diffusivity_cm2_per_s_str
ALD_Al2O3_Si_00027,Al2O3,Si(100),ALD,310.6,3,0.06,1.1,99.9,2,1.925347666467454e-18,1.93e-18
ALD_Al2O3_Si_00028,Al2O3,Si(100),ALD,250.3,7.6,0.17,1.06,99.9,1.69,1.0368938564662316e-18,1.04e-18
ALD_Al2O3_Si_00029,Al2O3,Si(100),ALD,226.6,6.6,0.94,1.06,99.1,0.85,9.34355035098117e-18,9.34e-18
ALD_Al2O3_Si_00030,Al2O3,Si(100),ALD,201.1,7.1,0.5,1.02,99.2,0.47,2.3392695306451656e-18,2.34e-18
ALD_Al2O3_Si_00031,Al2O3,Si(100),ALD,212.3,5.1,0.15,1.01,99.9,0.54,1.2654580115632622e-18,1.27e-18
ALD_Al2O3_Si_00032,Al2O3,Si(100),ALD,171.2,1.9,0.1,1,99.9,1.01,6.780918822849868e-19,6.78e-19
ALD_Al2O3_Si_00033,Al2O3,Si(100),ALD,186.8,9.3,0.64,1.02,96.6,0.49,6.949407538404095e-18,6.95e-18
ALD_Al2O3_Si_00034,Al2O3,Si(100),ALD,259.3,0.8,0.12,1.05,99.9,2,1.1607515645430942e-18,1.16e-18
ALD_Al2O3_Si_00035,Al2O3,Si(100),ALD,243.7,2,0.66,1.09,99.9,1.52,6.451436436917369e-18,6.45e-18
ALD_Al2O3_Si_00036,Al2O3,Si(100),ALD,268.7,6.4,0.98,1.1,99.9,2,1.4039378575886045e-17,1.40e-17
ALD_Al2O3_Si_00037,Al2O3,Si(100),ALD,197.3,5.1,0.18,1.01,99.9,0.58,9.775467263578967e-19,9.78e-19
ALD_Al2O3_Si_00038,Al2O3,Si(100),ALD,159.9,8,0.54,0.96,94.4,1.32,3.5831588849105e-18,3.58e-18
ALD_Al2O3_Si_00039,Al2O3,Si(100),ALD,307.7,2.5,0.37,1.11,99.9,2,7.807700221484875e-18,7.81e-18
ALD_Al2O3_Si_00040,Al2O3,Si(100),ALD,317.2,9.7,0.6,1.15,99.9,2,1.4865954744771514e-17,1.49e-17
ALD_Al2O3_Si_00041,Al2O3,Si(100),ALD,327.9,7.1,0.82,1.18,99.9,2,2.626157536633536e-17,2.63e-17
ALD_Al2O3_Si_00042,Al2O3,Si(100),ALD,208.6,9,0.34,1.03,97.3,0.53,2.6421015182576938e-18,2.64e-18
ALD_Al2O3_Si_00043,Al2O3,Si(100),ALD,187.4,2.5,0.99,1.04,99.9,0.37,5.0674276486933906e-18,5.07e-18
ALD_Al2O3_Si_00044,Al2O3,Si(100),ALD,153.4,1.4,0.79,0.99,99.9,1.5,3.583208934283765e-18,3.58e-18
ALD_Al2O3_Si_00045,Al2O3,Si(100),ALD,250.6,9.5,0.94,1.08,99.1,1.72,8.894708577990352e-18,8.89e-18
ALD_Al2O3_Si_00046,Al2O3,Si(100),ALD,248.4,7.6,0.73,1.07,99.9,1.75,9.012682657373951e-18,9.01e-18
ALD_Al2O3_Si_00047,Al2O3,Si(100),ALD,329.4,1.8,0.91,1.17,99.9,2,3.2994569468104505e-17,3.30e-17
ALD_Al2O3_Si_00048,Al2O3,Si(100),ALD,319.3,2.2,0.67,1.17,99.9,2,1.1503959350143797e-17,1.15e-17
ALD_Al2O3_Si_00049,Al2O3,Si(100),ALD,348.7,5.3,0.93,1.2,99.9,2,1.9269912469743844e-17,1.93e-17
ALD_Al2O3_Si_00050,Al2O3,Si(100),ALD,289.1,5.6,0.61,1.09,99.9,2,1.1211278192910141e-17,1.12e-17
ALD_Al2O3_Si_00051,Al2O3,Si(100),ALD,301.5,6.4,0.72,1.14,99.9,2,1.1675596841245433e-17,1.17e-17
ALD_Al2O3_Si_00052,Al2O3,Si(100),ALD,254.1,9.5,0.57,1.08,99.9,1.94,7.351270249434867e-18,7.35e-18
ALD_Al2O3_Si_00053,Al2O3,Si(100),ALD,300.5,5.6,0.71,1.13,99.9,2,1.5687850832513168e-17,1.57e-17
ALD_Al2O3_Si_00054,Al2O3,Si(100),ALD,227.8,6.7,0.45,1.06,99.9,0.78,2.328774422308504e-18,2.33e-18
ALD_Al2O3_Si_00055,Al2O3,Si(100),ALD,154.3,2.1,0.79,1.01,99.8,1.59,4.539238040281963e-18,4.54e-18
ALD_Al2O3_Si_00056,Al2O3,Si(100),ALD,219.2,4.4,0.32,1.05,99.9,0.76,2.017874426795523e-18,2.02e-18
ALD_Al2O3_Si_00057,Al2O3,Si(100),ALD,314,6.7,0.35,1.12,99.9,2,8.125053796045239e-18,8.13e-18
ALD_Al2O3_Si_00058,Al2O3,Si(100),ALD,337.3,7.2,0.51,1.16,99.9,2,1.226673373944139e-17,1.23e-17
ALD_Al2O3_Si_00059,Al2O3,Si(100),ALD,267.1,8.2,0.92,1.12,99.9,2,1.1258976787981497e-17,1.13e-17
ALD_Al2O3_Si_00060,Al2O3,Si(100),ALD,251.1,2,0.61,1.1,99.9,1.64,1.2551643559561852e-17,1.26e-17
ALD_Al2O3_Si_00061,Al2O3,Si(100),ALD,268.4,2.1,0.34,1.08,99.9,2,5.515509162668929e-18,5.52e-18
ALD_Al2O3_Si_00062,Al2O3,Si(100),ALD,229.9,9.6,0.15,1.03,98.9,0.91,2.0148523891766943e-18,2.01e-18
ALD_Al2O3_Si_00063,Al2O3,Si(100),ALD,223.2,0.3,0.39,1.03,99.9,0.71,3.796858414323827e-18,3.80e-18
ALD_Al2O3_Si_00064,Al2O3,Si(100),ALD,232.5,0.4,0.83,1.06,99.9,1.07,1.0275384768618949e-17,1.03e-17
ALD_Al2O3_Si_00065,Al2O3,Si(100),ALD,209.5,5,0.53,1.05,99.9,0.41,4.8782384250859055e-18,4.88e-18
ALD_Al2O3_Si_00066,Al2O3,Si(100),ALD,158.1,5.9,0.3,0.99,97.2,1.24,1.5846113443046372e-18,1.58e-18
ALD_Al2O3_Si_00067,Al2O3,Si(100),ALD,183.6,7.8,0.9,1.03,96.8,0.69,7.834979711415972e-18,7.83e-18
ALD_Al2O3_Si_00068,Al2O3,Si(100),ALD,216,6,0.76,1.07,99.9,0.67,6.888089603956359e-18,6.89e-18
ALD_Al2O3_Si_00069,Al2O3,Si(100),ALD,178.9,7.8,0.72,1.02,97.3,0.74,8.599443688670453e-18,8.60e-18
ALD_Al2O3_Si_00070,Al2O3,Si(100),ALD,177.7,6.7,0.28,0.98,97.2,0.68,2.2450929796150585e-18,2.25e-18
ALD_Al2O3_Si_00071,Al2O3,Si(100),ALD,226.1,2.4,0.22,1.04,99.9,0.9,1.5124650127725923e-18,1.51e-18
ALD_Al2O3_Si_00072,Al2O3,Si(100),ALD,183.4,2,0.14,1.01,99.9,0.69,8.065182251966185e-19,8.07e-19
ALD_Al2O3_Si_00073,Al2O3,Si(100),ALD,310.4,6,0.79,1.15,99.9,2,1.972189011326824e-17,1.97e-17
ALD_Al2O3_Si_00074,Al2O3,Si(100),ALD,341,1.6,0.45,1.19,99.9,2,1.3871501446680123e-17,1.39e-17
ALD_Al2O3_Si_00075,Al2O3,Si(100),ALD,213.7,8.8,0.2,0.98,99.8,0.56,2.0923503141516176e-18,2.09e-18
ALD_Al2O3_Si_00076,Al2O3,Si(100),ALD,161.3,2.7,0.68,1.01,99.9,1.32,4.336436732172078e-18,4.34e-18
ALD_Al2O3_Si_00077,Al2O3,Si(100),ALD,310.7,2.7,0.1,1.12,99.9,2,1.5197932798543518e-18,1.52e-18
ALD_Al2O3_Si_00078,Al2O3,Si(100),ALD,222.1,2.7,0.33,1.03,99.9,0.72,4.4459533310590835e-18,4.45e-18
ALD_Al2O3_Si_00079,Al2O3,Si(100),ALD,181.6,2.9,0.31,1,99.9,0.65,1.6391505970847992e-18,1.64e-18
ALD_Al2O3_Si_00080,Al2O3,Si(100),ALD,294.2,6.5,0.69,1.1,99.9,2,1.0947488780687355e-17,1.09e-17
ALD_Al2O3_Si_00081,Al2O3,Si(100),ALD,151.5,8.6,0.46,0.97,96.9,1.7,1.7499722672577336e-18,1.75e-18
ALD_Al2O3_Si_00082,Al2O3,Si(100),ALD,151.6,1.5,0.18,0.97,99.5,1.63,1.026195440214955e-18,1.03e-18
ALD_Al2O3_Si_00083,Al2O3,Si(100),ALD,212.5,2.5,0.65,1.07,99.9,0.35,5.0323296639917854e-18,5.03e-18
ALD_Al2O3_Si_00084,Al2O3,Si(100),ALD,287.7,4.1,0.45,1.1,99.9,2,6.5202986410984624e-18,6.52e-18
ALD_Al2O3_Si_00085,Al2O3,Si(100),ALD,212.3,6.3,0.26,1.01,99.9,0.72,1.9472037493624113e-18,1.95e-18
ALD_Al2O3_Si_00086,Al2O3,Si(100),ALD,160.6,3.9,0.85,1,99.9,1.23,2.48595563735794e-18,2.49e-18
ALD_Al2O3_Si_00087,Al2O3,Si(100),ALD,192.4,9.4,0.28,1.02,94.1,0.45,1.5041000000808884e-18,1.50e-18
ALD_Al2O3_Si_00088,Al2O3,Si(100),ALD,186.1,8.2,0.89,1.04,94.5,0.59,3.93969991579577e-18,3.94e-18
ALD_Al2O3_Si_00089,Al2O3,Si(100),ALD,197.9,5.1,0.41,1.01,99.9,0.49,2.7275093605309488e-18,2.73e-18
ALD_Al2O3_Si_00090,Al2O3,Si(100),ALD,210.3,0.4,0.82,1.06,99.9,0.63,8.182771524553171e-18,8.18e-18
ALD_Al2O3_Si_00091,Al2O3,Si(100),ALD,255.5,5.2,0.42,1.08,99.9,2,6.405991413415185e-18,6.41e-18
ALD_Al2O3_Si_00092,Al2O3,Si(100),ALD,218.1,4.4,0.08,1.04,99.9,0.6,9.725332013220996e-19,9.73e-19
ALD_Al2O3_Si_00093,Al2O3,Si(100),ALD,270.6,2.9,0.64,1.09,99.9,2,1.3021897676160326e-17,1.30e-17
ALD_Al2O3_Si_00094,Al2O3,Si(100),ALD,348.2,9.4,0.21,1.15,99.9,2,5.854469541736192e-18,5.85e-18
ALD_Al2O3_Si_00095,Al2O3,Si(100),ALD,238.6,1.4,0.21,1.04,99.9,1.3,2.2707303093645014e-18,2.27e-18
ALD_Al2O3_Si_00096,Al2O3,Si(100),ALD,313,1.1,0.87,1.13,99.9,2,1.9724879257361117e-17,1.97e-17
ALD_Al2O3_Si_00097,Al2O3,Si(100),ALD,308.6,9.1,0.85,1.16,99.9,2,9.732431516685034e-18,9.73e-18
ALD_Al2O3_Si_00098,Al2O3,Si(100),ALD,231.7,1.2,0.29,1.05,99.9,1.15,2.008913584914515e-18,2.01e-18
ALD_Al2O3_Si_00099,Al2O3,Si(100),ALD,162.6,9.9,0.9,1.01,94,1.07,4.343319842073625e-18,4.34e-18
ALD_Al2O3_Si_00100,Al2O3,Si(100),ALD,176.3,1.9,0.27,0.99,99.9,0.84,1.4983001696529426e-18,1.50e-18
ALD_Al2O3_Si_00101,Al2O3,Si(100),ALD,156.6,2.4,0.19,0.94,99.9,1.29,1.0533477297886566e-18,1.05e-18
ALD_Al2O3_Si_00102,Al2O3,Si(100),ALD,295.8,2.2,0.96,1.14,99.9,2,2.1207392642147834e-17,2.12e-17
ALD_Al2O3_Si_00103,Al2O3,Si(100),ALD,164.2,2.8,0.51,0.98,97.9,1.27,1.5596310544081442e-18,1.56e-18
ALD_Al2O3_Si_00104,Al2O3,Si(100),ALD,346.3,1.7,0.16,1.14,99.9,2,6.036304513680856e-18,6.04e-18
ALD_Al2O3_Si_00105,Al2O3,Si(100),ALD,342.8,1.4,0.15,1.15,99.9,2,4.81350839840397e-18,4.81e-18
ALD_Al2O3_Si_00106,Al2O3,Si(100),ALD,325.4,1.7,0.52,1.16,99.9,2,1.6179737739820485e-17,1.62e-17
ALD_Al2O3_Si_00107,Al2O3,Si(100),ALD,325.4,6.2,0.81,1.19,99.9,2,2.8787243895063926e-17,2.88e-17
ALD_Al2O3_Si_00108,Al2O3,Si(100),ALD,306.7,5.9,0.96,1.16,99.9,2,1.9759962893504632e-17,1.98e-17
ALD_Al2O3_Si_00109,Al2O3,Si(100),ALD,171,7.2,0.7,1.01,96.9,1.03,5.6099234999036925e-18,5.61e-18
ALD_Al2O3_Si_00110,Al2O3,Si(100),ALD,200.8,2.2,0.08,1,99.9,0.46,4.779888867770132e-19,4.78e-19
ALD_Al2O3_Si_00111,Al2O3,Si(100),ALD,253.8,1.5,0.71,1.06,99.9,1.82,6.776875980462722e-18,6.78e-18
ALD_Al2O3_Si_00112,Al2O3,Si(100),ALD,270.6,1.2,0.53,1.1,99.9,2,8.963257044857315e-18,8.96e-18
ALD_Al2O3_Si_00113,Al2O3,Si(100),ALD,212.2,1.3,0.51,1.04,99.9,0.54,3.7745703557016546e-18,3.77e-18
ALD_Al2O3_Si_00114,Al2O3,Si(100),ALD,343.5,3,0.87,1.22,99.9,2,2.918673549761851e-17,2.92e-17
ALD_Al2O3_Si_00115,Al2O3,Si(100),ALD,245.1,8.9,0.83,1.08,99.9,1.55,1.7553809624176657e-17,1.76e-17
ALD_Al2O3_Si_00116,Al2O3,Si(100),ALD,274.5,6.4,0.17,1.09,99.9,2,2.984526646016233e-18,2.98e-18
ALD_Al2O3_Si_00117,Al2O3,Si(100),ALD,194.3,0.1,0.53,1.02,99.9,0.54,3.962627035960847e-18,3.96e-18
ALD_Al2O3_Si_00118,Al2O3,Si(100),ALD,334.4,9.6,0.64,1.15,99.9,2,1.4010663227538223e-17,1.40e-17
ALD_Al2O3_Si_00119,Al2O3,Si(100),ALD,252.6,4.7,0.71,1.11,99.9,1.93,5.347675259560381e-18,5.35e-18
ALD_Al2O3_Si_00120,Al2O3,Si(100),ALD,309.1,5,0.8,1.16,99.9,2,1.713355803259136e-17,1.71e-17
ALD_Al2O3_Si_00121,Al2O3,Si(100),ALD,195.9,0.3,0.67,1.04,99.9,0.44,6.552389066237022e-18,6.55e-18
ALD_Al2O3_Si_00122,Al2O3,Si(100),ALD,264.3,2.4,0.5,1.08,99.9,2,6.400831642971731e-18,6.40e-18
ALD_Al2O3_Si_00123,Al2O3,Si(100),ALD,325.8,8.1,0.16,1.15,99.9,2,4.618756753469192e-18,4.62e-18
ALD_Al2O3_Si_00124,Al2O3,Si(100),ALD,274.4,5.5,0.67,1.09,99.9,2,1.5985199125928873e-17,1.60e-17
ALD_Al2O3_Si_00125,Al2O3,Si(100),ALD,178.4,8.7,0.44,1.01,95.2,0.82,3.9715854347062216e-18,3.97e-18
ALD_Al2O3_Si_00126,Al2O3,Si(100),ALD,191.6,1.6,0.72,1.06,99.9,0.65,5.545196061637867e-18,5.55e-18
ALD_Al2O3_Si_00127,Al2O3,Si(100),ALD,189.2,7.9,0.23,0.99,98.2,0.85,1.6073266062369004e-18,1.61e-18
ALD_Al2O3_Si_00128,Al2O3,Si(100),ALD,265.8,8.7,0.97,1.11,98,2,8.733004709123608e-18,8.73e-18
ALD_Al2O3_Si_00129,Al2O3,Si(100),ALD,206.5,0.2,0.72,1.04,99.9,0.63,4.687178085876073e-18,4.69e-18
ALD_Al2O3_Si_00130,Al2O3,Si(100),ALD,318.6,0.6,0.32,1.13,99.9,2,7.080239346289305e-18,7.08e-18
ALD_Al2O3_Si_00131,Al2O3,Si(100),ALD,261.8,7.2,0.22,1.05,99.9,2,2.345630510540488e-18,2.35e-18
ALD_Al2O3_Si_00132,Al2O3,Si(100),ALD,218.8,4.8,0.65,1.05,99.9,0.82,6.2430251990592325e-18,6.24e-18
ALD_Al2O3_Si_00133,Al2O3,Si(100),ALD,202.5,6.7,0.39,1.01,98.4,0.47,5.287091608552892e-18,5.29e-18
ALD_Al2O3_Si_00134,Al2O3,Si(100),ALD,241.4,7.8,0.59,1.08,99.9,1.32,1.0459890952699249e-17,1.05e-17
ALD_Al2O3_Si_00135,Al2O3,Si(100),ALD,280,6.5,0.71,1.1,99.9,2,1.2510938399072232e-17,1.25e-17
ALD_Al2O3_Si_00136,Al2O3,Si(100),ALD,222.4,7.7,0.17,1.05,99.3,0.74,1.9874068045879783e-18,1.99e-18
ALD_Al2O3_Si_00137,Al2O3,Si(100),ALD,244.8,4,0.61,1.06,99.9,1.53,5.6993997068431644e-18,5.70e-18
ALD_Al2O3_Si_00138,Al2O3,Si(100),ALD,246.3,0.5,0.87,1.08,99.9,1.7,1.5809463626624117e-17,1.58e-17
ALD_Al2O3_Si_00139,Al2O3,Si(100),ALD,294.1,9.2,0.12,1.11,99.9,2,1.4337528344770938e-18,1.43e-18
ALD_Al2O3_Si_00140,Al2O3,Si(100),ALD,259.3,3.6,0.6,1.07,99.9,2,1.0519746008554419e-17,1.05e-17
ALD_Al2O3_Si_00141,Al2O3,Si(100),ALD,244.1,6.2,0.74,1.08,99.9,1.49,9.80429038828313e-18,9.80e-18
ALD_Al2O3_Si_00142,Al2O3,Si(100),ALD,315,8.6,0.96,1.18,99.9,2,1.790863184026688e-17,1.79e-17
ALD_Al2O3_Si_00143,Al2O3,Si(100),ALD,153.3,9.2,0.81,0.97,94,1.44,3.541427780438262e-18,3.54e-18
ALD_Al2O3_Si_00144,Al2O3,Si(100),ALD,265.1,1.9,0.59,1.1,99.9,2,5.933511739798535e-18,5.93e-18
ALD_Al2O3_Si_00145,Al2O3,Si(100),ALD,340.9,3,0.93,1.19,99.9,2,2.0194710831944923e-17,2.02e-17
ALD_Al2O3_Si_00146,Al2O3,Si(100),ALD,182.3,1.7,0.66,1.03,99.9,0.77,2.524037296194429e-18,2.52e-18
ALD_Al2O3_Si_00147,Al2O3,Si(100),ALD,218.2,4.3,0.63,1.03,99.9,0.58,7.027080673281696e-18,7.03e-18
ALD_Al2O3_Si_00148,Al2O3,Si(100),ALD,326.4,0.5,0.2,1.12,99.9,2,7.574410750888671e-18,7.57e-18
ALD_Al2O3_Si_00149,Al2O3,Si(100),ALD,287.6,8.9,0.72,1.13,99.9,2,6.704083846173091e-18,6.70e-18
ALD_Al2O3_Si_00150,Al2O3,Si(100),ALD,205.5,9,0.65,1.04,96.9,0.36,8.87709981550457e-18,8.88e-18
ALD_Al2O3_Si_00151,Al2O3,Si(100),ALD,337.1,1.9,0.98,1.19,99.9,2,2.834098875574411e-17,2.83e-17
ALD_Al2O3_Si_00152,Al2O3,Si(100),ALD,297.7,6,0.51,1.13,99.9,2,1.0884547930738303e-17,1.09e-17
ALD_Al2O3_Si_00153,Al2O3,Si(100),ALD,329.1,1.2,0.2,1.13,99.9,2,3.4339699793817875e-18,3.43e-18
ALD_Al2O3_Si_00154,Al2O3,Si(100),ALD,181.5,0.2,0.57,1.01,99.9,0.61,5.157167751183161e-18,5.16e-18
ALD_Al2O3_Si_00155,Al2O3,Si(100),ALD,316.2,0.6,0.18,1.13,99.9,2,4.42326576499143e-18,4.42e-18
ALD_Al2O3_Si_00156,Al2O3,Si(100),ALD,291.2,9.9,0.21,1.09,99.9,2,5.454081414279704e-18,5.45e-18
ALD_Al2O3_Si_00157,Al2O3,Si(100),ALD,248.8,2.6,0.49,1.1,99.9,1.64,8.554895432831135e-18,8.55e-18
ALD_Al2O3_Si_00158,Al2O3,Si(100),ALD,176.1,8,0.86,1.03,95.4,0.71,7.502570264467245e-18,7.50e-18
ALD_Al2O3_Si_00159,Al2O3,Si(100),ALD,212.1,5.1,0.53,1.02,99.9,0.56,3.60339872809936e-18,3.60e-18
ALD_Al2O3_Si_00160,Al2O3,Si(100),ALD,310.1,3,0.69,1.15,99.9,2,1.434420335094512e-17,1.43e-17
ALD_Al2O3_Si_00161,Al2O3,Si(100),ALD,332.8,2.6,0.91,1.16,99.9,2,2.1091135002648693e-17,2.11e-17
ALD_Al2O3_Si_00162,Al2O3,Si(100),ALD,156,1.8,0.23,0.98,99.9,1.41,1.4234810195510468e-18,1.42e-18
ALD_Al2O3_Si_00163,Al2O3,Si(100),ALD,203.8,7.3,0.65,1.05,99.9,0.57,5.488661475882014e-18,5.49e-18
ALD_Al2O3_Si_00164,Al2O3,Si(100),ALD,206.3,9.1,0.97,1.04,97.4,0.55,1.056426309006026e-17,1.06e-17
ALD_Al2O3_Si_00165,Al2O3,Si(100),ALD,270.7,9.2,0.59,1.11,98,2,1.2262045562916263e-17,1.23e-17
ALD_Al2O3_Si_00166,Al2O3,Si(100),ALD,287.5,8.6,0.77,1.13,99.9,2,8.149051196388662e-18,8.15e-18
ALD_Al2O3_Si_00167,Al2O3,Si(100),ALD,180.1,2,0.46,1.02,99.9,0.68,4.193281436405992e-18,4.19e-18
ALD_Al2O3_Si_00168,Al2O3,Si(100),ALD,182.2,4,0.15,1.02,99.9,0.59,1.2150895749361659e-18,1.22e-18
ALD_Al2O3_Si_00169,Al2O3,Si(100),ALD,335.4,3.1,0.58,1.16,99.9,2,1.4904113131744762e-17,1.49e-17
ALD_Al2O3_Si_00170,Al2O3,Si(100),ALD,346.2,6.5,0.8,1.17,99.9,2,2.8180747407768507e-17,2.82e-17
ALD_Al2O3_Si_00171,Al2O3,Si(100),ALD,320.4,2.8,0.54,1.13,99.9,2,1.2693376805509987e-17,1.27e-17
ALD_Al2O3_Si_00172,Al2O3,Si(100),ALD,241.1,4.4,0.35,1.05,99.9,1.49,4.690249848070844e-18,4.69e-18
ALD_Al2O3_Si_00173,Al2O3,Si(100),ALD,206.7,3.9,0.78,1.04,99.9,0.52,5.52487691066208e-18,5.52e-18
ALD_Al2O3_Si_00174,Al2O3,Si(100),ALD,204.3,7.8,0.31,1.02,99.3,0.59,2.777823286817972e-18,2.78e-18
ALD_Al2O3_Si_00175,Al2O3,Si(100),ALD,180.6,7.5,0.35,1,96,0.71,2.1976799436840516e-18,2.20e-18
ALD_Al2O3_Si_00176,Al2O3,Si(100),ALD,184.4,1.8,0.77,1.04,99.9,0.6,4.280630346090478e-18,4.28e-18
ALD_Al2O3_Si_00177,Al2O3,Si(100),ALD,328.3,3.9,0.36,1.15,99.9,2,1.0027980608897964e-17,1.00e-17
ALD_Al2O3_Si_00178,Al2O3,Si(100),ALD,316.8,8.1,0.94,1.19,99.9,2,5.05393196866198e-17,5.05e-17
ALD_Al2O3_Si_00179,Al2O3,Si(100),ALD,160.9,2.2,0.68,0.99,99.9,1.29,2.7774071269703524e-18,2.78e-18
ALD_Al2O3_Si_00180,Al2O3,Si(100),ALD,321.9,3.1,0.83,1.2,99.9,2,1.9264248971270973e-17,1.93e-17
ALD_Al2O3_Si_00181,Al2O3,Si(100),ALD,242.4,2.9,0.71,1.09,99.9,1.29,6.549462966430973e-18,6.55e-18
ALD_Al2O3_Si_00182,Al2O3,Si(100),ALD,235.5,1.8,0.4,1.04,99.9,1.18,3.551262995778075e-18,3.55e-18
ALD_Al2O3_Si_00183,Al2O3,Si(100),ALD,287.7,0.4,0.33,1.09,99.9,2,7.384559249829851e-18,7.38e-18
ALD_Al2O3_Si_00184,Al2O3,Si(100),ALD,163.6,0.8,0.74,1.01,99.9,1.22,4.6853735698800164e-18,4.69e-18
ALD_Al2O3_Si_00185,Al2O3,Si(100),ALD,185.6,0.1,0.86,1.03,99.9,0.62,5.4846580743379155e-18,5.48e-18
ALD_Al2O3_Si_00186,Al2O3,Si(100),ALD,206.4,7.1,0.59,1.05,99.9,0.59,6.367987336940319e-18,6.37e-18
ALD_Al2O3_Si_00187,Al2O3,Si(100),ALD,327.1,7.2,0.39,1.15,99.9,2,1.2914986042374836e-17,1.29e-17
ALD_Al2O3_Si_00188,Al2O3,Si(100),ALD,347,2.5,0.58,1.18,99.9,2,1.7801627451940582e-17,1.78e-17
ALD_Al2O3_Si_00189,Al2O3,Si(100),ALD,241.6,7,0.68,1.06,99.9,1.3,4.7964075725949845e-18,4.80e-18
ALD_Al2O3_Si_00190,Al2O3,Si(100),ALD,207.8,5.2,0.82,1.03,99.9,0.45,8.361841066771139e-18,8.36e-18
ALD_Al2O3_Si_00191,Al2O3,Si(100),ALD,341.7,4,0.09,1.14,99.9,2,2.9742973748087e-18,2.97e-18
